name,type,hp,attack,image_url
Misdreavus,Ghost,60,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/misdreavus.png
Unown,Psychic,48,72,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/unown.png
Wobbuffet,Psychic,190,33,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/wobbuffet.png
Girafarig,Normal/Psychic,70,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/girafarig.png
Pineco,Bug,50,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/pineco.png
Forretress,Bug/Steel,75,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/forretress.png
Dunsparce,Normal,100,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/dunsparce.png
Gligar,Ground/Flying,65,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/gligar.png
Steelix,Steel/Ground,75,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/steelix.png
Steelix Mega Steelix,Steel/Ground,75,125,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/steelix-mega.png
Snubbull,Fairy,60,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/snubbull.png
Granbull,Fairy,90,120,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/granbull.png
Qwilfish,Water/Poison,65,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/qwilfish.png
Qwilfish Hisuian Qwilfish,Dark/Poison,65,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/qwilfish-hisuian.png
Scizor,Bug/Steel,70,130,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/scizor.png
Scizor Mega Scizor,Bug/Steel,70,150,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/scizor-mega.png
Shuckle,Bug/Rock,20,10,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/shuckle.png
Heracross,Bug/Fighting,80,125,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/heracross.png
Heracross Mega Heracross,Bug/Fighting,80,185,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/heracross-mega.png
Sneasel,Dark/Ice,55,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sneasel.png
Sneasel Hisuian Sneasel,Fighting/Poison,55,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sneasel-hisuian.png
Teddiursa,Normal,60,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/teddiursa.png
Ursaring,Normal,90,130,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ursaring.png
Slugma,Fire,40,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/slugma.png
Magcargo,Fire/Rock,60,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/magcargo.png
Swinub,Ice/Ground,50,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/swinub.png
Piloswine,Ice/Ground,100,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/piloswine.png
Corsola,Water/Rock,65,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/corsola.png
Corsola Galarian Corsola,Ghost,60,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/corsola-galarian.png
Remoraid,Water,35,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/remoraid.png
Octillery,Water,75,105,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/octillery.png
Delibird,Ice/Flying,45,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/delibird.png
Mantine,Water/Flying,85,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mantine.png
Skarmory,Steel/Flying,65,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/skarmory.png
Houndour,Dark/Fire,45,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/houndour.png
Houndoom,Dark/Fire,75,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/houndoom.png
Houndoom Mega Houndoom,Dark/Fire,75,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/houndoom-mega.png
Kingdra,Water/Dragon,75,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kingdra.png
Phanpy,Ground,90,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/phanpy.png
Donphan,Ground,90,120,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/donphan.png
Porygon2,Normal,85,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/porygon2.png
Stantler,Normal,73,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/stantler.png
Smeargle,Normal,55,20,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/smeargle.png
Tyrogue,Fighting,35,35,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/tyrogue.png
Hitmontop,Fighting,50,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmontop.png
Smoochum,Ice/Psychic,45,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/smoochum.png
Elekid,Electric,45,63,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/elekid.png
Magby,Fire,45,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/magby.png
Miltank,Normal,95,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/miltank.png
Blissey,Normal,255,10,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/blissey.png
Raikou,Electric,90,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/raikou.png
Entei,Fire,115,115,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/entei.png
Suicune,Water,100,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/suicune.png
Larvitar,Rock/Ground,50,64,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/larvitar.png
Pupitar,Rock/Ground,70,84,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/pupitar.png
Tyranitar,Rock/Dark,100,134,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/tyranitar.png
Tyranitar Mega Tyranitar,Rock/Dark,100,164,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/tyranitar-mega.png
Lugia,Psychic/Flying,106,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/lugia.png
Ho-oh,Fire/Flying,106,130,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ho-oh.png
Celebi,Psychic/Grass,100,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/celebi.png
Treecko,Grass,40,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/treecko.png
Grovyle,Grass,50,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/grovyle.png
Sceptile,Grass,70,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sceptile.png
Sceptile Mega Sceptile,Grass/Dragon,70,110,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sceptile-mega.png
Torchic,Fire,45,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/torchic.png
Combusken,Fire/Fighting,60,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/combusken.png
Blaziken,Fire/Fighting,80,120,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/blaziken.png
Blaziken Mega Blaziken,Fire/Fighting,80,160,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/blaziken-mega.png
Mudkip,Water,50,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mudkip.png
Marshtomp,Water/Ground,70,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/marshtomp.png
Swampert,Water/Ground,100,110,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/swampert.png
Swampert Mega Swampert,Water/Ground,100,150,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/swampert-mega.png
Poochyena,Dark,35,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/poochyena.png
Mightyena,Dark,70,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mightyena.png
Zigzagoon,Normal,38,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/zigzagoon.png
Zigzagoon Galarian Zigzagoon,Dark/Normal,38,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/zigzagoon-galarian.png
Linoone,Normal,78,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/linoone.png
Linoone Galarian Linoone,Dark/Normal,78,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/linoone-galarian.png
Wurmple,Bug,45,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/wurmple.png
Silcoon,Bug,50,35,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/silcoon.png
Beautifly,Bug/Flying,60,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/beautifly.png
Cascoon,Bug,50,35,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/cascoon.png
Dustox,Bug/Poison,60,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/dustox.png
Lotad,Water/Grass,40,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/lotad.png
Lombre,Water/Grass,60,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/lombre.png
Ludicolo,Water/Grass,80,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ludicolo.png
Seedot,Grass,40,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/seedot.png
Nuzleaf,Grass/Dark,70,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/nuzleaf.png
Shiftry,Grass/Dark,90,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/shiftry.png
Taillow,Normal/Flying,40,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/taillow.png
Swellow,Normal/Flying,60,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/swellow.png
Wingull,Water/Flying,40,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/wingull.png
Pelipper,Water/Flying,60,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/pelipper.png
Ralts,Psychic/Fairy,28,25,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ralts.png
Kirlia,Psychic/Fairy,38,35,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kirlia.png
Gardevoir,Psychic/Fairy,68,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/gardevoir.png
Gardevoir Mega Gardevoir,Psychic/Fairy,68,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/gardevoir-mega.png
Surskit,Bug/Water,40,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/surskit.png
Masquerain,Bug/Flying,70,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/masquerain.png
Shroomish,Grass,60,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/shroomish.png
Breloom,Grass/Fighting,60,130,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/breloom.png
Slakoth,Normal,60,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/slakoth.png
Vigoroth,Normal,80,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/vigoroth.png
Slaking,Normal,150,160,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/slaking.png
Nincada,Bug/Ground,31,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/nincada.png
Ninjask,Bug/Flying,61,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ninjask.png
Shedinja,Bug/Ghost,1,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/shedinja.png
Whismur,Normal,64,51,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/whismur.png
Loudred,Normal,84,71,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/loudred.png
Exploud,Normal,104,91,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/exploud.png
Makuhita,Fighting,72,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/makuhita.png
Hariyama,Fighting,144,120,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/hariyama.png
Azurill,Normal/Fairy,50,20,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/azurill.png
Nosepass,Rock,30,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/nosepass.png
Skitty,Normal,50,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/skitty.png
Delcatty,Normal,70,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/delcatty.png
Sableye,Dark/Ghost,50,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sableye.png
Sableye Mega Sableye,Dark/Ghost,50,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sableye-mega.png
Mawile,Steel/Fairy,50,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mawile.png
Mawile Mega Mawile,Steel/Fairy,50,105,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mawile-mega.png
Aron,Steel/Rock,50,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/aron.png
Lairon,Steel/Rock,60,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/lairon.png
Aggron,Steel/Rock,70,110,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/aggron.png
Aggron Mega Aggron,Steel,70,140,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/aggron-mega.png
Meditite,Fighting/Psychic,30,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/meditite.png
Medicham,Fighting/Psychic,60,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/medicham.png
Medicham Mega Medicham,Fighting/Psychic,60,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/medicham-mega.png
Electrike,Electric,40,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/electrike.png
Manectric,Electric,70,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/manectric.png
Manectric Mega Manectric,Electric,70,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/manectric-mega.png
Plusle,Electric,60,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/plusle.png
Minun,Electric,60,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/minun.png
Volbeat,Bug,65,73,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/volbeat.png
Illumise,Bug,65,47,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/illumise.png
Roselia,Grass/Poison,50,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/roselia.png
Gulpin,Poison,70,43,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/gulpin.png
Swalot,Poison,100,73,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/swalot.png
Carvanha,Water/Dark,45,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/carvanha.png
Sharpedo,Water/Dark,70,120,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sharpedo.png
Sharpedo Mega Sharpedo,Water/Dark,70,140,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sharpedo-mega.png
Wailmer,Water,130,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/wailmer.png
Wailord,Water,170,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/wailord.png
Numel,Fire/Ground,60,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/numel.png
Camerupt,Fire/Ground,70,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/camerupt.png
Camerupt Mega Camerupt,Fire/Ground,70,120,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/camerupt-mega.png
Torkoal,Fire,70,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/torkoal.png
Spoink,Psychic,60,25,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/spoink.png
Grumpig,Psychic,80,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/grumpig.png
Spinda,Normal,60,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/spinda.png
Trapinch,Ground,45,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/trapinch.png
Vibrava,Ground/Dragon,50,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/vibrava.png
Flygon,Ground/Dragon,80,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/flygon.png
Cacnea,Grass,50,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/cacnea.png
Cacturne,Grass/Dark,70,115,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/cacturne.png
Swablu,Normal/Flying,45,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/swablu.png
Altaria,Dragon/Flying,75,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/altaria.png
Altaria Mega Altaria,Dragon/Fairy,75,110,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/altaria-mega.png
Zangoose,Normal,73,115,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/zangoose.png
Seviper,Poison,73,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/seviper.png
Lunatone,Rock/Psychic,90,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/lunatone.png
Solrock,Rock/Psychic,90,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/solrock.png
Barboach,Water/Ground,50,48,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/barboach.png
Whiscash,Water/Ground,110,78,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/whiscash.png
Corphish,Water,43,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/corphish.png
Crawdaunt,Water/Dark,63,120,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/crawdaunt.png
Baltoy,Ground/Psychic,40,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/baltoy.png
Claydol,Ground/Psychic,60,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/claydol.png
Lileep,Rock/Grass,66,41,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/lileep.png
Cradily,Rock/Grass,86,81,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/cradily.png
Anorith,Rock/Bug,45,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/anorith.png
Armaldo,Rock/Bug,75,125,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/armaldo.png
Feebas,Water,20,15,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/feebas.png
Milotic,Water,95,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/milotic.png
Castform,Normal,70,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/castform.png
Castform Sunny Form,Fire,70,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/castform-sunny.png
Castform Rainy Form,Water,70,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/castform-rainy.png
Castform Snowy Form,Ice,70,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/castform-snowy.png
Kecleon,Normal,60,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kecleon.png
Shuppet,Ghost,44,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/shuppet.png
Banette,Ghost,64,115,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/banette.png
Banette Mega Banette,Ghost,64,165,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/banette-mega.png
Duskull,Ghost,20,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/duskull.png
Dusclops,Ghost,40,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/dusclops.png
Tropius,Grass/Flying,99,68,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/tropius.png
Chimecho,Psychic,75,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/chimecho.png
Absol,Dark,65,130,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/absol.png
Absol Mega Absol,Dark,65,150,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/absol-mega.png
Wynaut,Psychic,95,23,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/wynaut.png
Snorunt,Ice,50,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/snorunt.png
Glalie,Ice,80,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/glalie.png
Glalie Mega Glalie,Ice,80,120,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/glalie-mega.png
Spheal,Ice/Water,70,40,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/spheal.png
Sealeo,Ice/Water,90,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sealeo.png
Walrein,Ice/Water,110,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/walrein.png
Clamperl,Water,35,64,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/clamperl.png
Huntail,Water,55,104,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/huntail.png
Gorebyss,Water,55,84,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/gorebyss.png
Relicanth,Water/Rock,100,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/relicanth.png
Luvdisc,Water,43,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/luvdisc.png
Bagon,Dragon,45,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/bagon.png
Shelgon,Dragon,65,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/shelgon.png
Salamence,Dragon/Flying,95,135,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/salamence.png
Salamence Mega Salamence,Dragon/Flying,95,145,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/salamence-mega.png
Beldum,Steel/Psychic,40,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/beldum.png
Metang,Steel/Psychic,60,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/metang.png
Metagross,Steel/Psychic,80,135,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/metagross.png
Metagross Mega Metagross,Steel/Psychic,80,145,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/metagross-mega.png
Regirock,Rock,80,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/regirock.png
Regice,Ice,80,50,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/regice.png
Registeel,Steel,80,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/registeel.png
Latias,Dragon/Psychic,80,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/latias.png
Latias Mega Latias,Dragon/Psychic,80,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/latias-mega.png
Latios,Dragon/Psychic,80,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/latios.png
Latios Mega Latios,Dragon/Psychic,80,130,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/latios-mega.png
Kyogre,Water,100,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kyogre.png
Kyogre Primal Kyogre,Water,100,150,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kyogre-primal.png
Groudon,Ground,100,150,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/groudon.png
Groudon Primal Groudon,Ground/Fire,100,180,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/groudon-primal.png
Rayquaza,Dragon/Flying,105,150,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/rayquaza.png
Rayquaza Mega Rayquaza,Dragon/Flying,105,180,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/rayquaza-mega.png
Jirachi,Steel/Psychic,100,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/jirachi.png
Deoxys Normal Forme,Psychic,50,150,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/deoxys-normal.png
Deoxys Attack Forme,Psychic,50,180,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/deoxys-attack.png
Deoxys Defense Forme,Psychic,50,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/deoxys-defense.png
Deoxys Speed Forme,Psychic,50,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/deoxys-speed.png
Turtwig,Grass,55,68,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/turtwig.png
Grotle,Grass,75,89,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/grotle.png
Torterra,Grass/Ground,95,109,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/torterra.png
Chimchar,Fire,44,58,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/chimchar.png
Monferno,Fire/Fighting,64,78,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/monferno.png
Infernape,Fire/Fighting,76,104,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/infernape.png
Piplup,Water,53,51,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/piplup.png
Prinplup,Water,64,66,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/prinplup.png
Empoleon,Water/Steel,84,86,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/empoleon.png
Starly,Normal/Flying,40,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/starly.png
Staravia,Normal/Flying,55,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/staravia.png
Staraptor,Normal/Flying,85,120,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/staraptor.png
Bidoof,Normal,59,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/bidoof.png
Bibarel,Normal/Water,79,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/bibarel.png
Kricketot,Bug,37,25,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kricketot.png
Kricketune,Bug,77,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kricketune.png
Shinx,Electric,45,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/shinx.png
Luxio,Electric,60,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/luxio.png
Luxray,Electric,80,120,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/luxray.png
Budew,Grass/Poison,40,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/budew.png
Roserade,Grass/Poison,60,70,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/roserade.png
Cranidos,Rock,67,125,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/cranidos.png
Rampardos,Rock,97,165,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/rampardos.png
Shieldon,Rock/Steel,30,42,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/shieldon.png
Bastiodon,Rock/Steel,60,52,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/bastiodon.png
Burmy Plant Cloak,Bug,40,29,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/burmy-plant.png
Burmy Sandy Cloak,Bug,40,29,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/burmy-sandy.png
Burmy Trash Cloak,Bug,40,29,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/burmy-trash.png
Wormadam Plant Cloak,Bug/Grass,60,59,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/wormadam-plant.png
Wormadam Sandy Cloak,Bug/Ground,60,79,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/wormadam-sandy.png
Wormadam Trash Cloak,Bug/Steel,60,69,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/wormadam-trash.png
Mothim,Bug/Flying,70,94,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/mothim.png
Combee,Bug/Flying,30,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/combee.png
Vespiquen,Bug/Flying,70,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/vespiquen.png
Pachirisu,Electric,60,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/pachirisu.png
Buizel,Water,55,65,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/buizel.png
Floatzel,Water,85,105,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/floatzel.png
Cherubi,Grass,45,35,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/cherubi.png
